S.NO.,CODE,Noman,PART NUMBER,PARTICULAR,SECTION,C.H. Ø (mm) & POSITION,S.H DETAIL (mm),Sub-Cateogry,Brand,SPECIAL Category,POSITION,Type,Leaf Type Code,Vehicle Maker,vehicle code,Sub_seg_desc,Sub_seg_code,Lens in inches,DBP ,MRP,ML - DBP(Rs),Length (Inches),Image,2P - DBP(Rs),Length (Inches),Image,3 - DBP(Rs),Length (Inches),Image,4 - DBP(Rs),Length (Inches),Image,5 - DBP(Rs),Length (Inches),Image,6 - DBP(Rs),Length (Inches),Image,7 - DBP(Rs),Length (Inches),Image,8 - DBP(Rs),Length (Inches),Image,9 - DBP(Rs),Length (Inches),Image,10 - DBP(Rs),Length (Inches),Image,11 - DBP(Rs),Length (Inches),Image,12 - DBP(Rs),Length (Inches),Image,13 - DBP(Rs),Length (Inches),Image,14 - DBP(Rs),Length (Inches),Image,AA - DBP(Rs),Length (Inches),Image,AB - DBP(Rs),Length (Inches),Image,3A - DBP(Rs),Length (Inches),Image,4A - DBP(Rs),Length (Inches),Image,L1W - DBP(Rs),Length (Inches),Image,L2W - DBP(Rs),Length (Inches),Image,ASSY - DBP(Rs),,,15/L,Length (Inches),Image,16/L,Length (Inches),Image,17/L,Length (Inches),Image,18/L,Length (Inches),Image,19/L,Length (Inches),Image,2/L,Length (Inches),Image,20/L,Length (Inches),Image,HELPER SPL,Length (Inches),Image,PP,Length (Inches),Image,SPL LEAF,Length (Inches),Image
1,002200,0022,48220-B010/48210-B120, QUALIS (RR),60X6,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,ASSY.,2,TOYOTA,25,MUV,4,0.00,3210,4860,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3210,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
2,002200N,0022N,48220-B010/48210-B120, QUALIS (RR),0X0,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,ASSY.,2,TOYOTA,25,MUV,4,0.00,2860,4330,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2860,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
3,002201,0022,48220-B010/48210-B120, QUALIS (RR),60X7,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,M/L,5,TOYOTA,25,MUV,4,56.22,730,1110,730,56.22047244,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
4,002201N,0022N,48220-B010/48210-B120, QUALIS (RR),60X7,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,M/L,5,TOYOTA,25,MUV,4,56.50,730,1110,730,56.49606299,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
5,002202,0022,48220-B010/48210-B120, QUALIS (RR),60X7,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,2/L,5,TOYOTA,25,MUV,4,42.72,550,830,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,550,42.71653543,,0,0,,0,0,,0,0,,0,0,
6,002202N,0022N,48220-B010/48210-B120, QUALIS (RR),60X8,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,2/L,5,TOYOTA,25,MUV,4,42.52,610,920,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,610,42.51968504,,0,0,,0,0,,0,0,,0,0,
7,002203,0022,48220-B010/48210-B120, QUALIS (RR),60X7,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,3/L,5,TOYOTA,25,MUV,4,36.42,490,740,0,0,,0,0,,490,36.41732283,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
8,002203N,0022N,48220-B010/48210-B120, QUALIS (RR),60X7,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,3/L,5,TOYOTA,25,MUV,4,33.27,440,670,0,0,,0,0,,440,33.26771654,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
9,002204,0022,48220-B010/48210-B120, QUALIS (RR),60X6,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,4/L,5,TOYOTA,25,MUV,4,30.51,340,520,0,0,,0,0,,0,0,,340,30.51181102,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
10,002204N,0022N,48220-B010/48210-B120, QUALIS (RR),60X16,10.5 OFFSET,4/L  ONE SIDE Ø 8.5,TOYOTA,TOYOTA,,2,4/L,5,TOYOTA,25,MUV,4,22.99,680,1030,0,0,,0,0,,0,0,,680,22.99212598,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
