name,item_code,variant,item_description,category,subcategory,segment,subsegment,leaftype,leaftype,leaf_desc,leafposition,vehicle,vechiclemodel,drawing_refno,mrp1,mrp2,mrp3,mrp4,mrp5,dbp1,dbp2,dbp3,dbp4,dbp5,status,priority,substitute,weight,length,section,ch_detail,sh_detail,item_weight,suitableFor,image
TATA 1210D Front LEAVES WITH 70 Aux-A,018131N,AMI,TATA 1210D Front LEAVES WITH 70 Aux-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-A,Front,TATA,1210,3423200902/257432100124,1700,1240,0,0,0,1700,1240,0,0,0,1,2,,9.95,57.09,,,,,,
TATA 1210 SE 12.5(H) M/L,19301,AMI,TATA 1210 SE 12.5(H) M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,M/L,Helper,TATA,1210,2.57332E+11,1710,1250,0,0,0,1710,1250,0,0,0,1,1,,9.38,47.44,,,,,,
"LEY. 203 C.H. (R) RR 46""-SPL LEAF",36546,AMI,"LEY. 203 C.H. (R) RR 46""-SPL LEAF",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,RR 46,Rear,ASHOK LEYLAND,203,F4510710/B3206602/F4556010,1300,950,0,0,0,1300,950,0,0,0,1,3,,7.386,45.98,,,,,,
LEY.TUS. NM C.H. R AUX-A,41531,AMI,LEY.TUS. NM C.H. R AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-A,Rear,ASHOK LEYLAND,OTHERS,DCPE11602087,2200,1610,0,0,0,2200,1610,0,0,0,1,1,,11.432,62.99,,,,,,
LEY.TUS. NM C.H. R AUX-4A,41534,AMI,LEY.TUS. NM C.H. R AUX-4A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-4A,Rear,ASHOK LEYLAND,OTHERS,DCPE11602087,1680,1230,0,0,0,1680,1230,0,0,0,1,3,,9.542,52.99,,,,,,
EICHER SHAKTI (F) M/L,49101,AMI,EICHER SHAKTI (F) M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,M/L,Front,EICHER,SHAKTI,IB007533/34,1710,1250,0,0,0,1710,1250,0,0,0,1,2,,7.05,60.39,,,,,,
EICHER SHAKTI (R) 2/L,49202,AMI,EICHER SHAKTI (R) 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,2/L,Rear,EICHER,SHAKTI,IB007505,1320,970,0,0,0,1320,970,0,0,0,1,3,,6.7,51.85,,,,,,
M&M PICKUP VAN RR 029726 3/L,64203,AMI,M&M PICKUP VAN RR 029726 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,3/L,Rear,MAHINDRA,PICKUP,29726,1030,750,0,0,0,1030,750,0,0,0,1,1,,5.025,43.07,,,,,,
LEY2516 C.H 16.0MM (R) NEW AUX-3A,242233N,AMI,LEY2516 C.H 16.0MM (R) NEW AUX-3A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-3A,Rear,ASHOK LEYLAND,2516,F4508210,1820,1330,0,0,0,1820,1330,0,0,0,1,3,,10.574,44.25,,,,,,
"TATA 2515 EX (R) 48""-SPL LEAF",251248,AMI,"TATA 2515 EX (R) 48""-SPL LEAF",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,48,Rear,TATA,2515,2.78232E+11,2150,1580,0,0,0,2150,1580,0,0,0,1,2,,11.48,47.99,,,,,,
TATA 1613 LPT (R) (NEW) (0114) 4/L,252204N,AMI,TATA 1613 LPT (R) (NEW) (0114) 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,4/L,Rear,TATA,1613,2.78232E+11,2320,1700,0,0,0,2320,1700,0,0,0,1,2,,13.1,58.5,,,,,,
M&M MAXI Rear 2/L HALF BEND,264202P,AMI,M&M MAXI Rear 2/L HALF BEND,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,2/L HALF BEND,Rear,MAHINDRA,MAXI,0402AA1450N,1020,740,0,0,0,1020,740,0,0,0,1,1,,5.1,52.36,,,,,,
M&M MAXIMO Rear 2/L,309202,AMI,M&M MAXIMO Rear 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,2/L,Rear,MAHINDRA,MAXIMO,A93550-014/0402AA1530N,740,540,0,0,0,740,540,0,0,0,1,2,,3.14,40.16,,,,,,
M&M MAXIMO Rear 1WR,309221,AMI,M&M MAXIMO Rear 1WR,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,1WR,Rear,MAHINDRA,MAXIMO,A93550-014/0402AA1530N,800,590,0,0,0,800,590,0,0,0,1,2,,3.81,48.82,,,,,,
